GrLivArea,BedroomAbvGr,FullBath,YearBuilt,TotalBsmtSF,SalePrice
2035,3,2,2001,884.0,222500
2599,4,2,1999,1393.0,333168
2475,4,2,1998,1629.0,355000
1720,3,2,1996,1720.0,260400
2622,3,2,1994,1463.0,325000
2270,4,2,1999,1152.0,290000
1839,4,2,1998,1195.0,221000
3238,4,2,1995,2033.0,410000
1595,2,2,2005,1595.0,221500
1218,2,2,2009,1218.0,204500
1547,3,2,2009,756.0,215200
1566,3,2,2008,1566.0,262500
1947,3,2,2004,991.0,254900
1468,2,2,2005,1468.0,271500
2084,4,2,2004,956.0,233000
1659,3,2,2004,831.0,181000
2110,3,2,1994,948.0,205000
923,2,2,1980,923.0,143000
1845,3,2,1992,1055.0,189000
918,2,2,1979,918.0,99500
752,2,1,1984,744.0,125000
1744,3,2,1993,996.0,194500
1097,3,2,1984,1040.0,152000
1564,3,2,1980,650.0,171000
1012,2,1,1920,816.0,67500
1902,4,2,1978,0.0,112000
1155,3,1,1961,1109.0,148000
894,3,1,1965,894.0,138500
900,3,1,1967,882.0,122000
1040,3,1,1963,1040.0,133000
1040,3,1,1962,1040.0,127000
1494,3,2,1974,1208.0,169000
1923,3,2,1992,750.0,190000
2349,4,2,1993,1231.0,362500
2225,4,2,1992,1390.0,285000
1488,2,2,2004,1488.0,260000
1680,2,2,2004,840.0,190000
1200,2,2,2004,600.0,155000
1200,2,2,2004,600.0,151000
1200,2,2,2004,600.0,149500
1236,2,2,2005,600.0,152000
1478,2,2,2009,1470.0,222000
1573,3,2,2000,756.0,177500
1512,2,2,2000,756.0,177000
1416,3,2,1999,696.0,155000
1080,2,2,2003,530.0,147110
1418,1,1,2010,1642.0,267916
1848,3,2,2000,975.0,254000
788,1,1,1980,728.0,155000
1226,1,1,1978,1226.0,206000
1479,3,2,1976,725.0,130500
1492,3,2,2002,1492.0,230000
1829,4,2,1967,1829.0,218500
2495,4,2,1993,1280.0,243500
1610,3,2,1977,1610.0,205000
1891,3,3,1978,1224.0,212500
1714,3,2,1988,980.0,196500
1381,3,1,1972,1161.0,197500
1645,4,1,1971,715.0,171000
1232,3,1,1966,1232.0,142250
1328,3,1,1963,1328.0,143000
1225,3,1,1959,950.0,128950
1209,3,1,1966,1209.0,159000
1510,3,2,1967,1510.0,178900
1775,3,2,1964,533.0,136300
1152,3,1,1964,1152.0,180500
1054,3,1,1963,936.0,137500
1728,6,2,1962,1728.0,84900
1078,2,1,1950,1078.0,142125
2461,3,2,1952,1140.0,197600
1556,3,2,1949,782.0,172500
858,2,1,1958,858.0,116500
1306,3,1,1940,728.0,76500
1063,3,1,1954,1056.0,128000
1520,3,1,1955,1156.0,153000
1268,2,1,1954,1268.0,132000
1128,2,1,1966,1080.0,178000
2274,5,2,1960,1105.0,154300
2207,3,2,1970,1947.0,180000
1888,2,2,1966,1517.0,190000
1604,4,2,1958,1604.0,135000
1480,3,2,2003,1480.0,214000
1143,3,1,1959,1143.0,136000
1700,4,1,1959,1398.0,165500
1314,3,1,1957,1314.0,145000
1194,3,1,1959,1194.0,148000
1188,3,1,1959,1188.0,142000
1264,3,1,1960,1268.0,167500
1206,3,1,1959,1206.0,108538
1580,3,1,1959,1244.0,159500
1337,3,1,1956,832.0,108000
1064,2,1,1952,864.0,135000
972,3,1,1955,972.0,122500
988,2,1,1958,988.0,119000
1057,3,1,1953,1057.0,109000
985,2,1,1920,576.0,105000
827,2,1,1955,0.0,107500
1086,3,1,1954,1086.0,144900
936,2,1,1956,936.0,129000
1458,3,1,1948,912.0,97500
1056,0,0,1980,1056.0,144000
1287,3,1,1959,1063.0,162000
2978,5,2,1967,710.0,242000
1224,3,1,1948,816.0,132000
1246,3,1,1959,1246.0,154000
1385,4,2,1952,910.0,166000
900,3,1,1951,900.0,134800
1116,3,1,1962,1116.0,160000
1175,3,1,1960,1175.0,148000
1395,2,1,1963,1395.0,192000
1839,4,1,1966,756.0,155000
1844,3,1,1900,709.0,80400
1140,3,1,1910,576.0,96500
936,2,1,1920,936.0,109500
1028,2,1,1927,1008.0,115000
1347,3,1,1957,1347.0,143000
1605,3,2,1915,840.0,107400
747,2,1,1945,747.0,80000
804,2,1,1940,788.0,119000
1316,3,1,1929,926.0,130000
1251,3,1,1938,827.0,119000
1633,3,1,1948,1027.0,129000
1245,3,1,1920,1008.0,100000
832,2,1,1923,678.0,12789
720,2,1,1928,624.0,105900
1566,3,2,1900,930.0,150000
1652,4,2,1915,686.0,139000
2268,3,3,1890,346.0,240000
2256,4,2,1910,840.0,76500
1236,2,1,1957,912.0,149700
1363,3,1,1910,622.0,125500
2290,4,2,1885,777.0,122500
1470,2,1,1922,738.0,140750
1612,3,1,1950,988.0,128500
2068,3,1,1922,1108.0,209500
765,2,1,1925,765.0,87000
1132,2,1,1939,608.0,134000
1196,3,1,1940,572.0,128000
1453,3,1,1942,835.0,132000
1416,3,1,1948,780.0,139900
1040,2,1,1936,528.0,123900
1536,4,2,1930,928.0,138400
1068,2,1,1923,1124.0,109500
1710,3,2,1921,576.0,140000
1962,4,1,1915,888.0,149500
1560,3,1,1912,780.0,159900
1324,3,1,1920,662.0,122000
816,2,1,1963,816.0,110000
1092,3,2,1930,0.0,55000
1812,4,2,1900,360.0,140000
2403,4,2,1940,1032.0,244400
1675,3,2,1959,1422.0,173000
1224,3,1,1917,689.0,107500
1392,3,1,1915,1212.0,100000
919,3,1,1940,600.0,95000
1884,4,1,1907,707.0,93369
1680,2,2,1910,856.0,114900
1020,2,1,1875,780.0,94000
1832,4,2,1967,1832.0,136000
1768,4,2,1968,1768.0,136500
1039,3,1,1965,1039.0,131500
1392,3,1,1957,1392.0,121500
912,3,1,1967,912.0,125000
1060,3,1,1968,1060.0,154000
892,3,1,1966,864.0,137900
1352,4,1,1969,663.0,158000
864,2,1,1968,864.0,137250
1373,3,1,1978,1319.0,160250
1440,4,1,1968,720.0,163000
1386,3,2,1978,672.0,158900
2260,3,2,1996,1306.0,328000
1483,1,1,1977,1420.0,270000
756,2,1,1927,660.0,85000
1067,2,2,1950,1067.0,128000
1524,0,0,1979,1332.0,260000
1981,4,2,1978,1117.0,230000
1610,4,2,1938,972.0,124000
835,2,1,1920,458.0,83000
1074,3,1,1950,663.0,144500
1144,3,1,1956,1144.0,129000
1531,3,1,1947,756.0,127000
1172,3,1,1954,1172.0,128000
1212,3,2,2009,1212.0,186000
1508,1,1,2009,1508.0,308030
1298,3,2,1964,1250.0,114000
930,2,1,1946,0.0,84900
1732,3,2,1985,741.0,178000
1433,1,1,1987,1433.0,270000
1802,3,2,1993,946.0,218000
1949,3,2,1993,1050.0,236000
996,2,1,1992,936.0,147000
1694,3,2,2008,1694.0,245350
1208,2,2,2006,1187.0,206000
1226,3,2,2009,1226.0,198900
1222,2,2,2010,1222.0,187000
3222,5,3,1990,1673.0,320000
1445,3,2,1900,676.0,138500
1052,3,1,1971,1010.0,155000
965,2,1,1996,870.0,159000
1692,3,2,1997,878.0,191000
1682,3,2,1998,804.0,200500
1026,3,1,1977,1026.0,150000
1392,3,1,1977,689.0,161750
894,3,1,1976,894.0,128200
876,3,1,1972,876.0,127000
1978,3,2,2003,1978.0,318000
1601,3,2,2001,1581.0,272000
1829,3,2,2003,941.0,237000
2098,4,2,1997,1040.0,240000
1661,3,2,1998,1649.0,224900
848,1,1,2003,848.0,143750
848,1,1,2004,848.0,143000
1668,3,2,2003,1657.0,232000
1484,3,2,2004,1473.0,213000
1414,3,2,2004,1414.0,185500
640,2,1,1945,0.0,84900
992,3,1,1954,381.0,155891
1664,4,2,1965,0.0,100000
1196,3,1,1968,1196.0,144000
1120,2,1,1948,744.0,64000
1096,3,1,1975,1008.0,125200
1117,3,1,1976,1029.0,107000
960,3,1,1958,960.0,90000
1121,2,2,2003,1121.0,140000
1487,3,1,1945,735.0,113000
924,2,1,1941,672.0,80000
1526,4,1,1957,1216.0,144500
1296,2,2,1924,1107.0,104000
1647,4,1,1915,806.0,128000
864,2,1,1914,864.0,58500
1691,3,2,1924,1026.0,127000
856,2,1,1939,856.0,126000
2650,6,3,1967,0.0,160000
1666,3,1,1931,894.0,100000
2447,4,2,1919,804.0,169000
2133,4,1,1941,1528.0,257500
2177,5,2,1950,1032.0,215000
2340,4,2,1941,1152.0,266500
1902,3,2,1959,1902.0,335000
1652,3,2,1994,423.0,203135
1034,1,1,1989,982.0,185000
1191,2,2,1989,1191.0,162500
1801,1,2,1959,1501.0,289000
1154,3,1,1922,796.0,125500
540,1,1,1941,480.0,82000
1107,2,1,1921,629.0,110000
1128,2,1,1920,698.0,68400
1178,2,1,1900,859.0,102776
1044,2,1,1952,540.0,55993
952,3,1,1896,756.0,50138
1646,2,2,2004,1594.0,246000
1916,3,2,1998,1049.0,254900
1285,3,2,1977,1243.0,190000
1560,3,2,2003,1560.0,201000
1034,3,1,1976,1012.0,169900
2048,5,3,1976,1958.0,170000
1687,3,1,1948,747.0,160000
1346,3,2,2008,1336.0,220000
1214,2,2,2009,1214.0,179781
1444,3,2,2006,384.0,174000
1968,4,2,2009,774.0,269500
1894,4,2,2002,817.0,214900
1908,4,2,2002,967.0,202900
2018,3,2,2008,2002.0,378500
1264,2,1,1965,1068.0,169000
1430,3,2,2004,1430.0,173500
1824,4,2,1971,912.0,139000
1344,3,2,1999,1344.0,166500
1092,3,1,1973,546.0,83500
945,2,1,1973,945.0,119500
1112,3,1,1976,536.0,85000
1092,3,1,1970,546.0,76000
630,1,1,1972,630.0,75500
1092,3,1,1970,546.0,88250
1092,3,1,1972,546.0,85500
874,3,1,1971,864.0,130000
1188,3,1,1962,1188.0,157900
833,2,1,1984,833.0,149900
2432,4,4,1985,1216.0,159000
1274,3,1,1991,624.0,136000
1479,5,2,1969,864.0,161000
1803,3,2,1994,1679.0,285000
1797,3,2,1993,1152.0,231000
882,2,1,1956,882.0,124500
1434,4,2,1974,1434.0,157000
2704,4,2,1972,1952.0,345000
1608,3,2,1997,945.0,189500
2283,4,2,2003,1008.0,270000
1628,3,2,1996,384.0,189000
1746,3,2,2006,1746.0,377500
1474,3,2,1995,384.0,168500
2522,1,2,2004,2208.0,375000
1659,2,2,2000,1501.0,278000
1478,2,2,1998,1418.0,240000
1734,2,2,1995,1587.0,239500
1382,3,2,1998,384.0,177500
1718,3,2,1998,832.0,185000
1636,3,2,1998,952.0,191000
1571,3,2,1993,799.0,178000
1470,3,2,1993,680.0,185000
1516,3,2,1994,707.0,181316
1190,3,2,1993,1181.0,166000
1593,3,2,1992,808.0,178000
1481,3,2,1994,702.0,174000
1167,3,2,1992,1158.0,173000
1983,3,2,1999,978.0,225000
1442,3,2,1990,1424.0,180500
1360,1,1,1984,1220.0,187500
2234,1,2,2008,2216.0,501837
2046,3,2,2008,2046.0,372500
1530,3,2,2005,1530.0,260000
1934,3,2,1977,1122.0,185000
2353,4,2,1980,845.0,260000
1586,3,2,1979,1362.0,181000
1411,3,2,1977,1386.0,82500
1602,3,2,1977,1602.0,215000
2050,4,2,1978,832.0,154000
1671,3,2,1978,1427.0,200000
2673,4,2,1980,1043.0,249000
1472,3,2,1980,1372.0,187500
1707,3,2,1978,1140.0,184000
2524,4,2,1981,2524.0,278000
1601,3,2,1978,1271.0,157000
1370,3,2,1976,1090.0,152000
1868,4,2,1976,780.0,197500
1884,3,2,2003,926.0,240900
1935,3,2,2009,832.0,263435
1874,3,2,2000,1058.0,220000
1811,3,2,2002,972.0,235000
1621,3,2,1975,1621.0,213000
1116,3,2,1974,1116.0,167900
1193,3,2,1975,1176.0,158000
1350,3,2,1974,1064.0,165000
2119,3,2,1972,689.0,158000
1792,4,2,1974,896.0,136000
1002,3,1,1970,1002.0,148500
1026,3,1,1969,1026.0,156000
1180,2,1,1970,1180.0,128000
1050,3,1,1971,1043.0,143000
864,3,1,1970,864.0,76500
864,3,1,1970,864.0,120500
864,3,1,1970,864.0,124500
864,2,1,1971,864.0,97000
864,3,1,1971,864.0,130000
987,2,1,1973,483.0,111000
1365,3,1,1970,765.0,125000
1302,3,2,1971,630.0,112000
987,2,1,1972,483.0,97000
987,2,1,1972,483.0,118000
1302,3,2,1972,630.0,119500
958,2,2,1976,958.0,143750
1548,3,2,1976,804.0,146000
1456,3,2,1976,855.0,148500
1055,2,2,1975,1057.0,123000
1322,3,2,1974,855.0,147000
1456,3,2,1977,855.0,137900
1548,3,2,1978,804.0,147000
1441,3,2,1978,855.0,148500
1456,3,2,1978,855.0,138000
836,2,1,1976,836.0,128500
892,3,1,1967,892.0,100000
1120,3,1,1966,864.0,148800
1718,3,2,2006,1700.0,337500
2772,4,3,2007,1776.0,462000
3140,4,3,2008,1926.0,485000
2402,2,2,2008,3094.0,555000
1652,2,2,2006,1652.0,325000
1600,3,2,2007,1566.0,256300
2042,3,2,2008,2042.0,253293
2690,3,2,2009,1365.0,398800
2184,3,2,2008,1104.0,335000
2020,3,2,2008,2020.0,404000
2020,3,2,2009,2006.0,402861
2296,3,2,2008,1722.0,451950
2674,2,2,2007,2630.0,610000
2822,4,3,2008,1734.0,582933
1736,3,2,2008,1736.0,360000
1782,3,2,2004,1782.0,296000
2520,5,2,2007,1508.0,409900
1717,3,2,2006,1709.0,255500
1743,3,2,2008,1739.0,335000
1713,3,2,2004,1713.0,274900
1531,2,2,2006,1504.0,300000
1808,3,2,2008,1774.0,324000
2224,4,2,2004,1462.0,350000
1836,3,2,2004,1836.0,280000
1629,3,2,2003,3206.0,284000
1760,3,2,2003,1760.0,269500
1502,3,2,2009,1502.0,233170
2392,3,2,2003,2392.0,386250
2452,3,2,2003,2452.0,445000
2400,4,3,2003,1082.0,290000
1606,3,2,2006,1598.0,255900
1358,2,2,2005,1358.0,213000
1306,1,2,2005,1306.0,196000
1306,1,2,2005,1306.0,184500
1358,2,2,2007,1350.0,212500
1314,2,2,2007,1314.0,230000
2492,2,2,2004,2492.0,552000
2200,3,2,2003,2200.0,382500
1884,2,2,2008,1884.0,320000
1456,2,2,2008,1451.0,248500
1712,3,2,2002,1712.0,286500
1324,2,2,2006,1324.0,254000
1405,2,2,2003,1405.0,173000
1626,2,2,2003,764.0,173000
1456,3,2,2005,728.0,184000
1490,3,2,2005,745.0,167800
1484,3,2,2005,742.0,174000
1560,3,2,2005,684.0,174000
1555,2,2,2007,1373.0,174000
1569,1,2,2007,1386.0,175900
1555,2,2,2005,1373.0,192500
1504,1,2,2005,1346.0,181000
1220,2,2,2005,1220.0,180000
1145,2,2,2005,1145.0,160200
1432,3,2,2004,716.0,188500
2267,4,2,2002,1010.0,200000
1374,3,2,2004,384.0,170000
1630,3,2,2004,868.0,189500
1419,3,2,2002,408.0,184100
1594,3,2,2004,846.0,195500
1489,3,2,2003,782.0,192000
1342,3,2,2003,698.0,178000
1314,2,2,2007,1314.0,207500
2256,4,2,2000,952.0,236000
2004,4,2,2002,870.0,257500
2054,3,2,2000,992.0,244000
1374,3,2,2004,384.0,167000
1800,3,2,2000,982.0,179000
1514,3,2,2000,794.0,190000
1430,3,2,1999,384.0,156000
2312,4,2,1999,1177.0,245000
1675,3,2,1999,841.0,181000
2060,3,2,1999,992.0,214000
1430,3,2,1999,384.0,168000
2365,3,2,1999,1252.0,337000
2794,4,2,1995,1462.0,403000
2687,4,2,2000,1455.0,327000
2450,3,2,1998,1284.0,340000
2612,4,2,1998,1225.0,336000
2344,3,2,1996,1264.0,265000
2063,3,2,1994,2024.0,315000
2646,4,2,1993,1347.0,260000
2061,3,2,1995,1070.0,260000
2232,3,2,1993,1173.0,263550
2448,4,2,1994,1629.0,402000
1850,3,2,1994,973.0,248000
1468,3,2,2008,1468.0,244600
1696,3,2,2008,1696.0,275000
1658,3,2,2008,1614.0,257500
1578,3,2,2008,1573.0,287090
1702,3,2,2007,1702.0,275500
1432,3,2,2006,1422.0,245000
1971,3,2,2005,1113.0,253000
2490,2,2,2005,2458.0,468000
1852,3,2,2009,900.0,252678
1590,3,2,2008,768.0,210000
1218,2,2,2009,1218.0,208300
1436,3,2,2008,1436.0,225000
1314,3,2,2009,1300.0,229456
1402,3,2,2008,1402.0,229800
1530,3,2,2007,1530.0,250000
1766,2,2,2009,1766.0,370878
1448,2,2,2006,1372.0,238500
2007,3,2,2008,1017.0,310000
1795,3,2,2006,900.0,270000
1953,3,2,2005,1082.0,252000
1550,2,2,2006,1092.0,241000
1836,3,2,2008,1836.0,264500
1662,3,2,2006,1652.0,291000
2094,4,2,2003,912.0,263000
1221,2,2,2004,1221.0,185000
1553,3,2,2003,1553.0,234500
1653,3,2,2003,812.0,209000
1218,3,1,2007,1218.0,159000
1141,3,1,2006,1141.0,152000
1158,3,1,2004,1158.0,143500
1812,3,2,2004,835.0,193000
1512,3,2,2004,1512.0,203000
1200,2,2,2003,1176.0,184900
1114,3,1,2004,1114.0,159000
1114,3,1,2004,1114.0,142000
1114,3,2,2003,1114.0,153000
1450,2,2,2008,1450.0,224243
2122,4,2,1996,913.0,220000
1844,2,2,2005,1844.0,257000
1434,3,2,2001,1454.0,189000
1730,3,2,1992,816.0,171500
1217,3,1,1980,626.0,120000
1332,2,2,1990,1332.0,145000
1540,3,2,1994,754.0,184000
1400,3,2,1986,676.0,162000
1882,4,2,1981,0.0,160000
841,2,1,1950,721.0,82000
784,2,1,1928,784.0,76000
980,3,1,1962,980.0,110000
980,3,1,1977,980.0,135000
864,3,1,1961,864.0,141000
864,2,1,1961,864.0,122000
1020,3,2,1965,1024.0,124100
912,3,1,1963,912.0,129000
1144,3,1,1961,864.0,131400
864,3,1,1965,864.0,62383
912,3,1,1962,912.0,123000
2014,2,2,1980,2014.0,275000
1755,3,2,1991,975.0,235000
3005,3,2,2004,1376.0,280750
1224,2,2,2009,612.0,164500
1224,2,2,2009,612.0,173733
1726,2,2,2008,1726.0,222000
1256,1,1,2008,1145.0,195000
1471,3,2,1999,729.0,172500
1512,2,2,2000,756.0,180000
1452,3,2,1999,691.0,156000
1739,3,2,1999,970.0,172500
1694,2,2,1977,1694.0,318750
1226,1,1,1981,1226.0,211500
1740,2,1,1981,1740.0,241600
2499,4,2,1976,392.0,180500
1620,3,2,1976,1281.0,150000
1556,4,1,1968,727.0,154000
1442,2,2,1970,1442.0,185000
1489,3,2,1968,1489.0,185750
2090,3,2,1973,1107.0,200000
2067,3,2,1974,752.0,206000
1395,3,1,1972,723.0,162000
2640,5,2,1967,932.0,256900
1724,3,1,1967,1680.0,197900
1336,3,2,1969,1288.0,163000
1216,3,1,1969,1216.0,113000
2288,4,1,1977,908.0,230000
1334,2,2,1977,1350.0,167900
1680,3,2,1998,1650.0,213250
1665,3,2,2001,810.0,227000
864,2,1,1967,864.0,130000
1568,3,1,1967,1568.0,143000
925,2,1,1965,925.0,117500
2061,4,2,1974,1165.0,168500
1320,3,2,1971,1232.0,172500
1342,3,2,1967,1372.0,161500
894,2,1,1960,894.0,141500
864,3,1,1959,864.0,118000
864,2,1,1959,864.0,127500
1362,3,1,1957,1040.0,140000
1728,3,2,1956,1048.0,177625
1776,4,2,1958,1584.0,110000
1516,3,1,1964,1516.0,167000
1313,3,1,1961,1313.0,153000
1292,3,1,1964,1292.0,145100
1154,3,1,1966,1154.0,154000
2140,4,2,1965,744.0,177500
1445,3,1,1964,1127.0,158000
1041,3,1,1959,1041.0,124500
1576,4,1,1961,1208.0,174500
960,2,1,1955,960.0,122000
708,2,1,1940,420.0,82500
1203,3,1,1950,709.0,110000
1505,2,1,1953,1505.0,149500
1691,2,1,1967,1680.0,175000
1644,3,1,1953,1416.0,167000
1050,2,1,1956,1050.0,128900
1668,3,1,1950,856.0,140000
1113,3,1,1950,1113.0,147000
1584,4,2,1967,1584.0,124000
1453,3,2,1961,1453.0,187500
1394,3,1,1963,1394.0,159000
1567,2,2,1966,1562.0,256000
1986,3,2,1965,768.0,205000
2142,4,2,1968,896.0,193500
1392,2,1,1968,1392.0,110000
1738,4,2,1920,715.0,104900
1144,3,1,1956,1169.0,150000
1478,3,1,1957,1478.0,156500
1329,3,1,1960,1329.0,176000
988,3,2,1959,988.0,149500
1632,3,2,1958,1240.0,139000
1215,3,1,1958,1215.0,155000
1202,3,1,1956,1202.0,120000
1382,3,1,1955,1382.0,153000
1200,3,1,1956,1200.0,144000
1382,3,1,1962,1362.0,176000
1297,3,1,1954,1297.0,153000
1866,4,2,1958,1866.0,135000
1062,3,1,1954,1062.0,131000
1319,3,1,1953,608.0,123000
1112,2,1,1951,631.0,126000
1005,2,1,1955,1005.0,115000
1363,2,1,1951,1008.0,164900
793,2,1,1945,793.0,113000
1031,2,1,1952,1031.0,145500
1210,2,1,1953,0.0,102900
1699,3,2,1900,978.0,95000
1527,3,1,1948,699.0,152500
1200,3,1,1950,1200.0,129900
972,2,1,1948,972.0,132000
792,2,1,1958,792.0,99900
1656,3,2,1916,660.0,135000
1352,4,2,1939,676.0,149000
1039,2,1,1900,405.0,114000
792,2,1,1924,768.0,109500
1078,3,1,1925,1054.0,125000
2377,3,2,1915,1313.0,142900
1690,4,2,1910,560.0,156500
599,2,1,1940,416.0,59000
1374,2,1,1920,840.0,105000
846,2,1,1920,720.0,106000
725,1,1,1890,630.0,78500
2544,6,2,1969,1248.0,190000
1380,3,1,1963,1380.0,154000
1040,3,1,1967,1040.0,163000
2634,6,2,1969,1248.0,200000
951,2,1,1958,951.0,143500
1105,3,1,1957,1105.0,135000
1306,2,1,1957,992.0,153000
1478,3,2,1960,1478.0,157500
1142,2,1,1958,160.0,113500
1268,3,1,1949,832.0,133000
1040,2,2,1950,0.0,92900
1133,3,1,1950,795.0,128500
1040,2,2,1949,0.0,90000
1904,3,1,1950,1208.0,138000
1041,3,1,1958,1041.0,128000
1339,3,1,1958,1029.0,139000
732,2,1,1952,732.0,118900
1183,3,1,1959,528.0,138000
1148,3,1,1959,1148.0,132500
1461,4,2,1949,832.0,133500
1495,3,1,1948,864.0,135000
1806,4,1,1964,780.0,144750
941,2,1,1978,941.0,145000
1045,3,1,1963,1045.0,127000
894,2,1,1962,894.0,109500
1224,3,1,1926,818.0,115000
1230,2,1,1910,440.0,110000
1378,3,1,1935,901.0,128900
1944,4,2,1910,972.0,103500
1131,3,1,1941,676.0,66500
1306,3,1,1910,240.0,130000
1464,3,2,1910,504.0,129000
1558,3,1,1939,690.0,150000
2372,4,2,1892,994.0,107500
1701,4,2,1920,600.0,94550
1960,4,2,1952,960.0,124500
1389,3,1,1946,651.0,135000
1447,3,1,1910,801.0,103000
936,2,1,1953,936.0,93000
1328,3,1,1950,768.0,129500
1387,3,2,1954,811.0,93000
861,2,1,1920,861.0,80000
612,1,1,1940,0.0,45000
968,2,1,1910,600.0,37900
886,2,1,1938,190.0,91300
792,2,1,1923,624.0,99500
1452,2,2,1920,736.0,113000
1510,3,2,1910,677.0,87500
1284,2,1,1947,720.0,110000
2138,2,2,1898,849.0,106000
2640,4,1,1880,1240.0,265979
2007,3,2,1900,917.0,160000
1288,3,1,1917,624.0,119000
1742,4,1,1882,916.0,168000
816,2,1,1910,624.0,58500
1482,3,1,1920,650.0,143000
1022,2,1,1910,1022.0,85000
1869,2,1,1890,1088.0,124900
1480,3,1,1920,972.0,119000
1521,4,1,1910,741.0,146500
720,2,1,1920,720.0,34900
797,2,1,1900,245.0,44000
1576,3,1,1923,1324.0,223500
1432,3,1,1923,1022.0,149000
1548,3,2,1925,952.0,205000
1654,3,2,1930,297.0,137000
952,2,1,1916,952.0,121000
1324,3,1,1936,672.0,128000
1176,2,1,1937,698.0,134900
1348,3,1,1925,884.0,117000
1412,4,1,1939,780.0,132500
1142,3,1,1924,468.0,93000
904,2,1,1926,884.0,119000
1301,2,1,1924,1145.0,100000
1539,3,1,1936,927.0,141500
1573,3,1,1935,884.0,133000
800,1,1,1936,264.0,60000
875,2,1,1931,715.0,105000
995,2,1,1925,960.0,115000
1582,3,2,1938,952.0,150000
1072,2,1,1925,1072.0,126500
2134,5,2,1916,844.0,214500
2019,3,1,1910,728.0,167500
1768,3,2,1915,1048.0,155000
1826,4,1,1915,910.0,155000
1944,3,2,1915,672.0,179900
2229,5,1,1912,755.0,104000
2128,4,2,1922,1040.0,62500
1930,4,2,1927,720.0,149000
1208,2,1,1925,780.0,103000
1427,3,1,1915,483.0,123000
1864,6,2,1902,1020.0,97500
1666,3,1,1927,1204.0,135000
892,1,1,1923,858.0,70000
1403,3,1,1915,698.0,116000
704,2,1,1946,560.0,88750
1200,3,3,1987,1200.0,179000
1200,3,3,1987,1200.0,179000
1152,2,2,1978,1152.0,159900
904,1,0,1922,683.0,61000
1369,3,2,1925,672.0,103600
1112,4,2,1934,585.0,63000
1464,3,2,1963,520.0,175000
1121,3,1,1963,1121.0,139000
1683,3,2,1978,918.0,172500
1052,3,1,1967,1052.0,113500
899,3,1,1967,864.0,130000
1034,3,1,1978,456.0,149900
858,2,1,1982,858.0,134900
860,2,1,1982,840.0,137000
1092,3,1,1962,1092.0,139000
1774,4,2,1961,552.0,165000
1138,3,1,1960,1138.0,148000
2071,4,1,1956,825.0,165000
660,2,1,1947,0.0,63900
1788,5,1,1957,1104.0,161500
1473,1,1,1968,1437.0,143000
1229,3,1,1956,1134.0,135000
861,1,1,1940,861.0,82500
1867,2,1,1955,1617.0,190000
1733,4,2,1955,0.0,139600
1383,2,1,1954,0.0,122000
1689,3,1,1956,1436.0,127500
1073,2,1,1956,1073.0,121500
1276,3,1,1958,1276.0,60000
1639,3,1,1946,747.0,154400
672,2,1,1941,672.0,113000
1089,3,1,1954,1089.0,125000
845,3,1,1957,0.0,84000
1049,2,2,1984,1049.0,139500
1716,3,1,1949,768.0,131000
1258,2,1,1939,560.0,105000
1510,4,1,1940,755.0,108000
1061,1,1,1990,1054.0,162000
1338,2,1,1983,520.0,156500
